ID,country,year,lineage,,place,province,latitude,longitude,species,date
Z-23-01Sa,Philippines,2023,Asian SEA4_A1.2,,Sta. Rosa ,Laguna,14.27260264,121.0895167,Canis familiaris,03/01/2023
Z-16-082,Philippines,2016,Asian SEA4_A1.1.2,,Sta. Rosa  ,Laguna,14.27260264,121.0895167,Canis familiaris,24/05/2016
Z-18-251,Philippines,2018,Asian SEA4_A1.1.2,,Sta. Rosa  ,Laguna,14.27260264,121.0895167,Canis familiaris,07/12/2018
Z-17-046,Philippines,2017,Asian SEA4_A1.1.2,,Sto. Tomas,Batangas,14.07637376,121.1824598,Canis familiaris,06/03/2017
R5-22-008,Philippines,2022,Asian SEA4_A1.2,,Tabaco,Albay,13.32537797,123.668741,Canis familiaris,02/02/2022
Z-04-664,Philippines,2004,Asian SEA4_A1.2,,Taguig,Metro Manila,14.51469695,121.0660524,Canis familiaris,15/12/2004
Z-05-191,Philippines,2005,Asian SEA4_A1.2,,Taguig,Metro Manila,14.51469695,121.0660524,Canis familiaris,10/04/2005
Z-98-838,Philippines,1998,Asian SEA4_B1,,Taguig,Metro Manila,14.51469695,121.0660524,Canis familiaris,09/08/1998
Z-07-351,Philippines,2007,Asian SEA4_D1,,Taguig  ,Metro Manila,14.51469695,121.0660524,Canis familiaris,25/10/2007
Z-13-032,Philippines,2013,Asian SEA4_D1,,Taguig  ,Metro Manila,14.51469695,121.0660524,Canis familiaris,14/02/2013
Z-13-036,Philippines,2013,Asian SEA4_D1,,Taguig  ,Metro Manila,14.51469695,121.0660524,Canis familiaris,25/02/2013
Z-14-101,Philippines,2014,Asian SEA4_A1.2,,Taguig  ,Metro Manila,14.51469695,121.0660524,Canis familiaris,04/05/2014
R11-21-63,Philippines,2021,Asian SEA4_A1.2,,Tagum ,Davao del Norte,7.434951203,125.7990149,Canis familiaris,04/10/2021
Z-06-39,Philippines,2006,Asian SEA4_B1,,Tanauan  ,Batangas,14.09625533,121.0970452,Canis familiaris,26/01/2006
Z-12-012,Philippines,2012,Asian SEA4_A1.1.2,,Tanauan  ,Batangas,14.09625533,121.0970452,Canis familiaris,16/01/2012
4A-22-98,Philippines,2022,Asian SEA4_B1.1,,Tayabas,Quezon,14.04055469,121.6122459,Canis familiaris,22/01/2022
Z-14-058,Philippines,2014,Asian SEA4_D1,,Taytay,Rizal,14.56080116,121.1315174,Canis familiaris,14/03/2014
R6-21-4511,Philippines,2021,Asian SEA4_A1.2,,Tibiao,Antique,11.31177392,122.0839795,Canis familiaris,08/10/2021
R2-081,Philippines,2020,Asian SEA4_A1.2.1,,Tuguegarao  ,Cagayan,17.60612446,121.7593619,Canis familiaris,31/08/2020
R1-21-148,Philippines,2021,Asian SEA4_A1.2,,Urbiztondo,Pangasinan,15.82353439,120.3636915,Canis familiaris,10/04/2021
4B-21-29,Philippines,2021,Asian SEA4_A1.1.2,,Victoria ,Oriental Mindoro,13.14368391,121.2438544,Canis familiaris,09/02/2021
R5-21-115,Philippines,2021,Asian SEA4_A1.2,,Vinzons,Camarines Norte,14.19277209,122.8889974,Canis familiaris,28/09/2021
R5-21-140,Philippines,2021,Asian SEA4_A1.2,,Vinzons,Camarines Norte,14.19277209,122.8889974,Canis familiaris,10/12/2021
